,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,1.wav,1.0,1.0,1.0
1,2.wav,1.0,1.0,1.0
2,3.wav,1.0,1.0,1.0
3,4.wav,1.0,1.0,1.0
4,5.wav,1.0,1.0,1.0
5,6.wav,1.0,1.0,1.0
6,7.wav,1.0,1.0,1.0
7,8.wav,1.0,1.0,1.0
8,9.wav,1.0,1.0,1.0
9,10.wav,1.0,1.0,1.0
10,11.wav,1.0,1.0,1.0
11,12.wav,1.0,1.0,1.0
12,13.wav,0.5,1.0,1.0
13,14.wav,0.5,1.0,1.0
14,15.wav,1.0,1.0,1.0
15,16.wav,1.0,1.0,1.0
16,17.wav,1.0,1.0,1.0
17,18.wav,0.09090909090909091,0.3333333333333333,0.3333333333333333
18,19.wav,0.5,1.0,1.0
19,20.wav,1.0,1.0,1.0
20,21.wav,1.0,1.0,1.0
21,22.wav,1.0,1.0,1.0
22,23.wav,1.0,1.0,1.0
23,24.wav,1.0,1.0,1.0
24,25.wav,1.0,1.0,1.0
25,26.wav,1.0,1.0,1.0
26,27.wav,0.5,1.0,1.0
27,28.wav,0.5,0.5,0.5
28,29.wav,1.0,1.0,1.0
29,30.wav,1.0,1.0,1.0
30,31.wav,1.0,1.0,1.0
31,32.wav,0.1111111111111111,0.1111111111111111,0.1111111111111111
32,33.wav,1.0,1.0,1.0
33,34.wav,1.0,1.0,1.0
34,35.wav,1.0,1.0,1.0
35,36.wav,1.0,1.0,1.0
36,37.wav,1.0,1.0,1.0
37,38.wav,1.0,1.0,1.0
38,39.wav,1.0,1.0,1.0
39,40.wav,1.0,1.0,1.0
40,41.wav,0.5,1.0,1.0
41,42.wav,1.0,1.0,1.0
42,43.wav,1.0,1.0,1.0
43,44.wav,0.5,0.5,0.5
44,45.wav,1.0,1.0,1.0
45,46.wav,1.0,0.2,0.2
46,47.wav,1.0,1.0,1.0
47,48.wav,0.5,1.0,1.0
