,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,00014.wav,0.030303030303030304,0.09090909090909091,0.030303030303030304
1,00031.wav,0.03333333333333333,0.06666666666666667,0.03333333333333333
2,00038.wav,1.0,0.5,0.5
3,00019.wav,0.07142857142857142,0.1111111111111111,0.1111111111111111
4,00029.wav,0.043478260869565216,0.038461538461538464,0.03125
5,00045.wav,0.029411764705882353,0.029411764705882353,0.029411764705882353
6,00013.wav,0.5,0.5,0.25
7,00011.wav,0.3333333333333333,0.041666666666666664,0.034482758620689655
8,00039.wav,0.043478260869565216,1.0,1.0
9,00018.wav,0.05263157894736842,0.029411764705882353,0.029411764705882353
10,00041.wav,0.034482758620689655,0.03225806451612903,0.034482758620689655
11,00012.wav,0.25,0.25,0.25
12,00044.wav,0.047619047619047616,1.0,0.02631578947368421
13,00034.wav,0.09090909090909091,0.09090909090909091,0.09090909090909091
14,00017.wav,0.07692307692307693,0.029411764705882353,0.041666666666666664
15,00032.wav,0.058823529411764705,0.047619047619047616,0.047619047619047616
16,00035.wav,0.041666666666666664,0.045454545454545456,0.043478260869565216
17,00022.wav,0.02564102564102564,0.3333333333333333,1.0
18,00030.wav,0.04,0.05,0.024390243902439025
19,00020.wav,0.025,0.025,0.025
