,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,00031.wav,0.03571428571428571,0.023255813953488372,0.037037037037037035
1,00043.wav,0.03225806451612903,0.021739130434782608,0.03225806451612903
2,00046.wav,0.034482758620689655,0.09090909090909091,0.03571428571428571
3,00029.wav,0.07692307692307693,0.07692307692307693,0.07692307692307693
4,00018.wav,0.5,1.0,1.0
5,00041.wav,0.038461538461538464,0.023255813953488372,0.07142857142857142
6,00033.wav,0.024390243902439025,0.025,0.024390243902439025
7,00017.wav,0.125,0.045454545454545456,0.125
8,00016.wav,0.3333333333333333,0.3333333333333333,0.125
9,00028.wav,0.03571428571428571,0.03571428571428571,0.03571428571428571
10,00022.wav,0.3333333333333333,0.041666666666666664,0.041666666666666664
11,00030.wav,0.023809523809523808,0.023809523809523808,0.023809523809523808
12,00020.wav,0.045454545454545456,1.0,1.0
